Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.00111333,0.0815098,0.279912,0.416829,0.841057,1.64022,2.66638,3.90432,5.80025,9.55948,19.8949,20.3336,20.7923,22.07,25.1,28.4,32.29,34.33,36.5,39.2122,47.5,45.96,53,59.763,65.8804,71.3908,74.0868,81.2026,
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.014833904,0.168093408,0.55203327,0.903212914,1.939213291,3.3661042,4.919306417,8.213077392,11.91392752,14.34023483,16.41513604,18.73538566,21.29370288,24.49984679,27.66798763,31.75089746,35.39109463,42.14124848,42.49399151,45.26984014,48.33367778,50.29546283,52.95321869,59.17636957,59.1730233,,
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9.17E-05,0.031949,0.0682202,0.226699,0.314691,0.541183,1.07975,3.77059,5.24127,8.40798,9.73806,11.1596,11.69,12.94,14.33,15.9,16.0173,21.2,27.93,29.0702,37.3051,42.9787,57.1484,57.1484,61.8363,
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8555,68.1272,68.1272,68.1272,
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3.94897,3.94897,3.94897,3.94897,3.94897,3.94897,,,,,38.0344,44.5,52,61,64.5,66,69.4659,69.7,71.4,74.1,77,79,81.0677,81.0677,81.0677,
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0500604,0.0563675,0.111035,0.410121,0.673344,4.37827,8.89054,11.3424,15.2554,18.8188,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.8599,60.6899,65.4548,69.33,71.7159,75.9002,80.7432,84.4336,86.0636,
Czech Republic,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.58132,1.25922,1.45358,1.94038,2.9157,3.89591,6.8328,9.78053,14.6972,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43,74.1104,74.2317,75.6688,76.4812,78.7192,80.6882,80.8669,
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125892,0.250274,0.435285,0.463635,0.922541,1.83774,3.05481,6.71109,9.87785,20.846,30.2163,31.6509,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.27,82.35,84.17,86.19,87.5898,84.1652,84.3955,89.7391,88.1345,
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0160308,0.0311662,0.0829415,0.094696,0.105762,0.194501,0.343526,0.486972,0.62594,0.781317,0.953611,1.27004,1.62,2.26,4,6.5,7,8.26723,9.5,10.71,11.9224,13.1349,55.6814,55.6814,55.6814,
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.548763,1.16552,1.16552,2.92535,2.93216,8.81484,13.2452,18.4249,23.6204,30.3196,38.5436,39.3982,40.2745,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,69.6197,69.6197,69.6197,
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0972773,0.194057,0.386914,0.57833,1.34431,3.82566,5.71499,11.382,22.6687,30.592,39.1724,42.9575,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.6297,95.99,96.3305,96.9678,97.0994,97.6443,98.0464,
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0172336,0.0749871,0.142688,0.233914,1.10474,3.70469,4.42939,6.82373,7.89839,8.86555,11.4832,14.8449,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.2158,63.8709,67.5712,74.8243,74.8243,
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000360674,0.00176895,0.00173853,0.0102685,0.0202386,0.199524,0.491706,0.646114,1.59164,2.19536,4.63448,5.84394,7.37598,9.45119,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.9455,47.6911,59.5797,59.5797,
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.79E-06,2.35E-05,0.000874968,0.003637712,0.011840205,0.033627573,0.094096021,0.323173634,0.852457285,1.845867514,2.778004782,4.405103797,5.754845958,6.873061552,8.304745651,10.15732147,14.38495296,19.27252855,23.78902104,28.979835,32.40434994,36.08239434,39.2318696,41.54984646,43.75255541,48.13831924,50.54988865,52.87791335,,
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000242859,0.000959208,0.002356957,0.005449394,0.011410475,0.040377671,0.080194497,0.162023289,0.342002263,0.610515283,1.136624452,1.682488233,2.828288236,3.395669075,4.201649967,4.873932124,5.735479869,7.314519039,8.473975636,9.664196844,12.79285702,15.42567026,18.06796716,20.90993519,25.44907585,25.7726563,30.16674885,38.02905936,39.5251068,,
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007210879,0.014867495,0.031197571,0.06218372,0.107776583,0.1930667,0.467536811,1.083659299,1.885365155,3.417878849,5.482952829,7.278347893,9.431524874,10.95724367,12.98741478,14.67171998,16.62042069,20.79050925,25.28552523,29.55067489,34.27055397,37.40232176,40.7438027,44.1230769,46.32899683,48.46669818,52.61325318,54.47706879,56.61170208,,
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000280207,0.007099479,0.032910301,0.085227055,0.186326079,0.355747256,0.576011382,1.005752123,1.869852211,2.777019139,4.916847111,7.194897774,10.28229946,11.8816231,14.4762521,19.94837762,23.42756017,26.9613616,35.38834733,40.57393224,48.98203292,52.94660876,57.04551416,58.94856043,62.67015166,66.72824312,70.08033352,,
Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048057816,0.101975045,0.1809082,0.280383165,0.525900969,0.993131847,1.841437681,3.355163624,5.43116368,9.225790167,13.15624968,16.37986086,23.00710495,27.86322618,31.77182464,34.85637567,38.01023743,43.61681612,47.31770406,50.53584758,56.08681628,58.79337385,63.58997703,66.31170026,68.98839724,70.04305277,72.44542523,75.02852869,78.24639899,,
